url_length,digit_ratio,entropy,count_dots,count_hyphens,count_at,is_https,suspicious_tld,keyword_count
37,0.0,4.013111135723804,2,1,0,1,0,0
48,0.0,4.1811275426950285,2,2,0,1,0,0
44,0.0,4.155248028063341,2,2,0,1,0,0
40,0.0,3.9373261452560087,2,2,0,1,0,0
41,0.0,3.7569263239975887,2,1,0,1,0,0
40,0.0,3.825070520364182,2,2,0,1,0,0
43,0.0,3.943138300962161,2,3,0,1,0,0
39,0.0,4.04106055186274,2,2,0,1,0,0
41,0.0,3.9852431629963667,2,1,0,1,0,0
45,0.08888888888888889,4.28876497438706,3,1,0,1,0,0
39,0.0,3.901449181656169,2,1,0,1,0,0
42,0.0,4.100301648814702,2,2,0,1,0,0
40,0.0,3.9848295085032626,2,2,0,1,0,0
36,0.0,4.051462154039802,2,1,0,1,0,0
31,0.0,3.9621031651557965,2,2,0,1,0,0
34,0.0,3.8558656947524805,2,1,0,1,0,0
31,0.0,3.95034419816869,2,3,0,1,0,0
35,0.0,4.111864717675344,2,2,0,1,0,0
30,0.03333333333333333,4.040223928941852,2,1,0,1,0,0
39,0.0,4.179776180945228,2,1,0,1,0,0
33,0.030303030303030304,4.112427831414107,2,2,0,1,0,0
43,0.23255813953488372,4.598133580877986,1,0,0,1,1,0
